epoch,is_street__dice_coef,is_street_loss,is_street_pr_auc,is_street_precision,is_street_recall,val_is_street__dice_coef,val_is_street_loss,val_is_street_pr_auc,val_is_street_precision,val_is_street_recall
136,0.0279,0.5196,0.0168,0.0014,1.3223e-05,0.0225,0.5136,0.0128,0.0,0.0
137,0.0278,0.5126,0.0163,0.0,0.0,0.0218,0.5113,0.0109,0.0,0.0
138,0.0265,0.5133,0.0144,0.0,0.0,0.018,0.5114,0.0087,0.0,0.0
139,0.028,0.5121,0.0158,0.0,0.0,0.0223,0.5148,0.0112,0.0,0.0
140,0.0285,0.5118,0.0163,0.0,0.0,0.0249,0.5119,0.0128,0.0,0.0
141,0.0273,0.5134,0.0161,0.0,0.0,0.019,0.5203,0.0092,0.0,0.0
142,0.0288,0.5149,0.0173,0.0,0.0,0.0261,0.5108,0.015,0.0,0.0
143,0.0263,0.5136,0.0151,0.0,0.0,0.0181,0.5138,0.0109,0.0,0.0
144,0.0281,0.5134,0.0172,0.0,0.0,0.0192,0.5112,0.0095,0.0,0.0
145,0.0291,0.5151,0.0182,0.0,0.0,0.0216,0.5155,0.012,0.0,0.0
146,0.0291,0.514,0.0172,0.0,0.0,0.0164,0.5074,0.0127,0.0,0.0
147,0.029,0.5131,0.0171,0.0,0.0,0.0228,0.5115,0.0117,0.0,0.0
148,0.0276,0.5153,0.016,0.0,0.0,0.0214,0.5116,0.0108,0.0,0.0
149,0.0263,0.5182,0.0156,0.0,0.0,0.0183,0.5096,0.0112,0.0,0.0
150,0.0293,0.5154,0.0182,0.0,0.0,0.0162,0.5221,0.0097,0.0,0.0
151,0.0276,0.5145,0.0165,0.0,0.0,0.0203,0.5094,0.0111,0.0,0.0
152,0.027,0.5141,0.0146,0.0,0.0,0.021,0.5112,0.0102,0.0,0.0
153,0.0267,0.5121,0.0162,0.0,0.0,0.021,0.5138,0.0111,0.0,0.0
154,0.026,0.5142,0.0153,0.0,0.0,0.0185,0.5139,0.0095,0.0,0.0
155,0.0268,0.5131,0.0138,0.0,0.0,0.0228,0.5094,0.0139,0.0,0.0
156,0.0287,0.5128,0.017,0.0,0.0,0.0224,0.5101,0.0129,0.0,0.0
157,0.0285,0.5142,0.0159,0.0,0.0,0.023,0.509,0.0145,0.0,0.0
158,0.026,0.5138,0.015,0.0,0.0,0.019,0.5145,0.011,0.0,0.0
159,0.0273,0.5186,0.0167,0.0,0.0,0.0257,0.512,0.0122,0.0,0.0
